lat,long,elevation
-10,-85,-4480.8
-10,-80,-4631
-10,-75,269.6
-10,-70,282.9
-10,-65,159.3
-10,-60,202.2
-10,-55,257.6
-10,-50,172.9
-10,-45,441.6
-10,-40,466
-10,-35,-3476.3
-10,-30,-5353.5
-10,-25,-5425.5
-10,-20,-4360.2
-10,-15,-3352
-10,-10,-3477.8
-10,-5,-4523.2
-10,0,-5616
-10,5,-5411
-10,10,-4309.5
-10,15,1071.8
-10,20,1186.6
-10,25,1038.5
-10,30,1468
-10,35,1140.5
-10,40,-316.5
-10,45,-3759.3
-10,50,-2877.2
-10,55,-4093
-10,60,-49.8
-10,65,-3315.8
-10,70,-3919.5
-10,75,-5217.5
-10,80,-5377.2
-10,85,-5015.7
-10,90,-5325.2
-10,95,-4924.7
-10,100,-5271
-10,105,-4939.9
-10,110,-2279.3
-10,115,-4451.5
-10,120,18.1
-10,125,-1914.2
-10,130,-180.2
-10,135,-69.3
-10,140,-45.3
-10,145,-1769
-10,150,-428.5
-10,155,-3313.3
-10,160,-3317.7
-10,165,-3540.4
-10,170,-4191.5
-10,175,-5017.2
-5,-175,-5746
-5,-170,-5396
-5,-165,-2015.8
-5,-160,-5086.5
-5,-155,-4925.4
-5,-150,-4880.3
-5,-145,-3684.5
-5,-140,-4357.8
-5,-135,-4596.8
-5,-130,-4584
-5,-125,-4314.1
-5,-120,-4259.4
-5,-115,-4272
-5,-110,-3597.9
-5,-105,-3316.8
-5,-100,-3780.5
-5,-95,-3928.3
-5,-90,-3806.5
-5,-85,-4027.6
-5,-80,1607.2
-5,-75,120.8
-5,-70,146.3
-5,-65,88.9
-5,-60,50.2
-5,-55,213.9
-5,-50,182.4
-5,-45,131.7
-5,-40,432.4
-5,-35,-573.2
-5,-30,-4984.8
-5,-25,-5637
-5,-20,-5159.2
-5,-15,-3603.8
-5,-10,-3251.5
-5,-5,-4460.5
-5,0,-3980
-5,5,-4945.3
-5,10,-2940.3
-5,15,605.9
-5,20,535.7
-5,25,664
-5,30,1094.9
-5,35,1281.1
-5,40,-818.3
-5,45,-4541.8
-5,50,-5066.5
-5,55,-10
-5,60,-3965.5
-5,65,-4064.8
-5,70,-3516
-5,75,-5238.3
